"","state","year","deaths","death_rate","hydro_gms","oxy_gms","fent_gms","pop","unempl_rate","poverty_rate","snap_rate","medicaid_rate","gsp_per_cap","min_wage","log_pop"
"679","SC",2015,761,0.527849932649921,-0.101060222055154,-0.0711140424442739,-0.085949507193863,-0.173884557227091,-0.129398047201755,0.457612187874601,1.28974624885641,1.55655654618986,-0.312338046669779,0.595828743251666,15.4030991019558
"680","SC",2016,879,0.928697372857881,-0.100608596924204,-0.0711373601383967,-0.0859629463616779,-0.164004881929929,-0.602775711433242,0.444015275075836,1.24311481271525,1.52990145895527,-0.186021180763673,0.595828743251666,15.416506537341
"681","SD",2000,20,-1.59026923944724,-0.105535341484402,-0.0721300017995339,-0.0860232370652692,-0.792743647315588,-1.64308501955989,-0.608707242316682,-1.10059664983115,-1.10075667731184,-1.38592846117678,-1.02675399387471,13.5355902846624
"682","SD",2001,24,-1.51569603016238,-0.105428895179484,-0.0720972161474771,-0.0860233499089435,-0.792425247360531,-1.27376146137431,-1.29900920451046,-1.05416113655857,-0.919378656887416,-1.30451164382786,-1.02675399387471,13.5384017246283
"683","SD",2002,22,-1.54420351360593,-0.105290902891049,-0.072058875116454,-0.0860142836272171,-0.792118817328598,-1.20548423226885,-0.386313008595166,-0.968080078659532,-0.777970589655459,-0.979378241463742,-1.02675399387471,13.5411000277057
"684","SD",2003,24,-1.50136008693125,-0.105155463431444,-0.0720212297975327,-0.0860053925753154,-0.791563861767835,-0.985976242603086,-0.0050193634142793,-0.872774707502229,-0.671958366273722,-0.870779130154866,-1.02675399387471,13.5459682931816
"685","SD",2004,43,-1.09387076476759,-0.105025038637644,-0.0719849540434119,-0.085996844114408,-0.79056631829962,-0.874130964736508,0.198888047977503,-0.819887625378689,-0.644442562476606,-0.680803157866124,-1.02675399387471,13.5546599473446
"686","SD",2005,40,-1.13725672140399,-0.104894646022488,-0.0719487003431978,-0.0859882905250727,-0.789803684572684,-0.821603704996239,-0.258226517608742,-0.754585538524733,-0.581612249319032,-0.525635466986637,-1.02675399387471,13.5612542351234
"687","SD",2006,37,-1.21110655740654,-0.104193941835942,-0.0717964120655448,-0.0859448446175626,-0.788675519318396,-1.22631074147948,-0.602567915337635,-0.702854056295592,-0.559686355415729,-0.409456590840219,-1.02675399387471,13.5709301196787
"688","SD",2007,32,-1.37881407678811,-0.104209817530148,-0.0717600620519999,-0.0859400500814068,-0.787390248823127,-1.38266012896152,-0.944112967616888,-0.670939419604396,-0.568749990690019,-0.103369002504481,-1.02675399387471,13.5818405473668
